Investment Info,Notes,Deal Lead,Investment Status,Company,Round Stage,Round Type,Lead / Co-Lead?,Pre-Money Valuation,Proposed Investment,Valuence Investment,Portfolio Update,Companies,Company Description,Company Description (from Company Description),Close Date,AI-Generated Memo (from Companies 2),Companies 3,Companies 4,Companies 5,SAFE Valuation Cap,SAFE Discount
MEDIC Life Sciences - Pre-A,MEDIC Life Sciences (https://www.notion.so/MEDIC-Life-Sciences-29e62322f218454c9258857420bd7cf0?pvs=21),Gene Cho,Portfolio,MEDIC Life Sciences,Pre-A,Priced Round,,$21000000,$400000,$400000,MEDiC - 3/10/2025,MEDIC Life Sciences,"MEDIC Life Sciences, based in New Delhi and founded in 2021, specializes in pioneering biotechnological solutions for healthcare. Their cutting-edge technology focuses on novel drug delivery systems and precision medicine, setting them apart by significantly enhancing therapeutic efficacy and patient outcomes in critical care scenarios.",,10/25/2023,,,,,,
Novel Farms - Pre-Seed,"Novel Farms, Inc. (https://www.notion.so/Novel-Farms-Inc-53c35e82890543448494764b64ba835b?pvs=21)",Andrew Hyung,Portfolio,Novel Farms,Pre-Seed,SAFE,checked,,$350000,$350000,,Novel Farms,"Novel Farms, founded in 2021 and based in Berkeley, specializes in cultivating gourmet, lab-grown meat using proprietary tissue engineering techniques. Their groundbreaking technology lies in mimicking the texture and flavor of traditional meats, offering sustainable, ethical alternatives without compromising on culinary experience.",,1/25/2024,,,,,$15000000,20%
Craft Health - Seed,Craft Health (https://www.notion.so/Craft-Health-d5f1fcc98b854742ae93774deb0b86d8?pvs=21),Gene Cho,Portfolio,Craft Health,Pre-A,SAFE,checked,,$375000,$375000,Craft Health - 3/23/2025,Craft Health,"Craft Health, based in Singapore and founded in 2018, specializes in 3D-printed personalized nutraceuticals and pharmaceuticals. Their technology enables customization of dosage forms and release profiles, enhancing patient compliance and efficacy. This groundbreaking approach tailors medication to individual health needs, revolutionizing personalized medicine.",,3/18/2024,,,,,$19500000,30%
FORAY - Seed,Foray Bioscience (https://www.notion.so/Foray-Bioscience-f036655aacee48e5b40877b22ed67986?pvs=21),Andrew Hyung,Passed,Foray Bioscience,Seed,SAFE,,,,,,Foray Bioscience,Foray Bioscience is a biotechnology company focused on developing innovative solutions for drug delivery and targeted therapeutics using their proprietary FORAYmicelle technology. Their unique approach allows for enhanced efficacy and reduced side effects compared to traditional drug delivery methods.,,,,,,,,
Krosslinker - Pre-A ,KROSSLINKER (https://www.notion.so/KROSSLINKER-c5c4e933a95c4970a9712fac70140e44?pvs=21),Andrew Hyung,Portfolio,KROSSLINKER,Pre-A,Priced Round,checked,$12276200,$640000,$640000,,KROSSLINKER,"KROSSLINKER, based in Singapore and founded in 2018, specializes in advanced aerogel technology. Their unique ultra-insulating aerogels are distinguished by superior thermal performance and cost-effectiveness, targeting industries like building, HVAC, and apparel. Their groundbreaking approach lies in scalable production methods that significantly reduce costs and enhance application feasibility.",,11/22/2024,,,,,,
Acrobat - Seed,Acrobat Genomics (https://www.notion.so/Acrobat-Genomics-cb39b73209f140d786c5d2851904b80b?pvs=21),Gene Cho,Passed,,Seed,SAFE,,,$400000,$400000,,,,,,,,,,,20%
Wasna - Seed,Wasna (https://www.notion.so/Wasna-87b1e20aa4e44aa7bbd2617a664c1fd6?pvs=21),Andrew Hyung,Passed,Wasna,,,,,,,,,"Wasna, headquartered in Singapore and founded in 2022, has developed a synthetic platelet technology using bioengineered cell-derived nanovesicles that mimic natural platelet function for hemostatic applications. The company's core differentiation lies in its scalable, animal-component-free manufacturing platform that produces off-the-shelf platelet substitutes with extended shelf life compared to donor-derived platelets, which expire within days and face chronic supply shortages. Primary markets include trauma care, surgical bleeding management, and treatment of thrombocytopenia, addressing a global platelet transfusion market exceeding $6 billion annually. The technology is significant because it offers a stable, pathogen-free alternative to donation-dependent blood products, potentially transforming emergency medicine and military applications where rapid hemostatic intervention is critical and cold-chain logistics for fresh platelets are impractical.",,,,,,,,
Abalone Bio - Seed-Ext,Abalone Bio (https://www.notion.so/Abalone-Bio-b656039a72d948ce9bd5e24c04ca5ee7?pvs=21),Gene Cho,Portfolio,Abalone Bio,Seed Extension,SAFE,,,$400000,$400000,,Abalone Bio,"Abalone Bio, based in Emeryville and founded in 2016, leverages a proprietary platform to engineer antibodies that target G protein-coupled receptors (GPCRs), offering groundbreaking applications in therapeutics for challenging diseases like cancer. Their unique approach allows for precise, high-affinity antibody discovery, addressing previously intractable targets.",,8/14/2024,,,,,$32500000,
Nabaco - Pre-A,Nabaco,Andrew Hyung,Portfolio,Nabaco,Pre-A,Priced Round,,$12500000,$500000,,,Nabaco,"Nabaco, based in San Marcos and founded in 2016, specializes in innovative agricultural coating technologies aimed at extending the shelf life of fresh produce. Their groundbreaking technology, which is non-toxic and fully biodegradable, addresses critical food sustainability challenges by significantly reducing food waste and enhancing food safety on a global scale.",,2/14/2025,,,,,,
CellMo - Series A,,Andrew Hyung,Investment Memo,CellMo,Series A,Priced Round,checked,$35000000,$1000000,,,,"Overview:  
Houston-based CellMo, founded in 2022, develops advanced metal foams using a proprietary freeze casting process that precisely controls porosity and microstructure. This technology enables the production of highly efficient, customizable metal foams with superior mechanical strength and tailored permeability. Key differentiators include tunable pore size and architecture, enabling enhanced performance in electrochemical applications such as batteries, fuel cells, and water purification. CellMo’s approach overcomes traditional manufacturing limitations, delivering lightweight, high-surface-area materials that improve energy efficiency and device longevity, positioning the company as a potential enabler of next-generation cleantech and energy storage solutions.

Assumptions: Founding year inferred from pitch deck and company materials.",,6/30/2025,,,,,,
